object_id,name,cospar_id,object_class,mass_kg,shape,max_cross_section_m2,min_cross_section_m2,avg_cross_section_m2,diameter_m,height_m,width_m
8207,Cosmos-758 fragmentation debris,1975-080M,Payload Fragmentation Debris,,,,,,,,
14035,Molniya operational debris (jettisonable engine section (BOZ)),1983-038D,Rocket Mission Related Object,328.0,Cyl,,,,2.3,1.0,
8187,Molniya operational debris (jettisonable engine section (BOZ)),1975-079C,Rocket Mission Related Object,328.0,Cyl,,,,2.3,1.0,
7881,Delta 900 fragmentation debris,1972-058BA,Rocket Fragmentation Debris,,,,,,,,
7810,Cosmos-731 operational debris (sensor cover),1975-041C,Payload Mission Related Object,,,,,,,,
7861,Delta 900 fragmentation debris,1972-058AK,Rocket Fragmentation Debris,,,,,,,,
7798,Blok-ML (Molniya-M Blok-ML),1975-036D,Rocket Body,891.97,Cyl,,,,2.58,2.3,
7689,Cosmos-719,1975-018A,Payload,6243.81,Sphere + Cyl,,,,2.4,6.49,
7741,Blok-I (Soyuz-U),1975-030B,Rocket Body,3221.01,Cyl,,,,2.66,8.99,
8561,Delta 2310 debris,1974-089DA,Rocket Fragmentation Debris,,,,,,,,
8563,Delta 2310 debris,1974-089DC,Rocket Fragmentation Debris,,,,,,,,
8562,Delta 2310 debris,1974-089DB,Rocket Fragmentation Debris,,,,,,,,
8537,Delta 900 fragmentation debris,1972-058GN,Rocket Fragmentation Debris,,,,,,,,
8540,Delta 900 fragmentation debris,1972-058GR,Rocket Fragmentation Debris,,,,,,,,
10254,Delta 2914 fragmentation debris,1977-065CH,Rocket Fragmentation Debris,,,,,,,,
8555,Delta 2310 debris,1974-089CU,Rocket Fragmentation Debris,,,,,,,,
8565,Delta 2310 debris,1974-089DE,Rocket Fragmentation Debris,,,,,,,,
10255,Delta 2914 fragmentation debris,1977-065CJ,Rocket Fragmentation Debris,,,,,,,,
8526,Cosmos-786 operational debris,1975-120E,Payload Mission Related Object,,,,,,,,
10252,Delta 2914 fragmentation debris,1977-065CF,Rocket Fragmentation Debris,,,,,,,,
8512,Proton-K/DM fourth stage casing,1975-123B,Rocket Mission Related Object,792.86,Cyl,,,,3.7,4.0,
10248,Delta 2914 fragmentation debris,1977-065CB,Rocket Fragmentation Debris,,,,,,,,
10244,Delta 2914 fragmentation debris,1977-065BX,Rocket Fragmentation Debris,,,,,,,,
10214,Delta 2914 fragmentation debris,1977-065AV,Rocket Fragmentation Debris,,,,,,,,
10183,Delta 2914 fragmentation debris,1977-065P,Rocket Fragmentation Debris,,,,,,,,
10185,Delta 2914 fragmentation debris,1977-065R,Rocket Fragmentation Debris,,,,,,,,
10158,Proton-K 8S812 (Proton-K/DM),1977-071B,Rocket Body,4185.0,Cyl,,,,4.15,6.5,
10127,Cosmos-924,1977-060A,Payload,867.2,Cyl + 2 Pan,,,,1.2,5.1,
10180,Delta 2914 fragmentation debris,1977-065L,Rocket Fragmentation Debris,,,,,,,,
10134,Agena D debris,1970-025NQ,Rocket Fragmentation Debris,,,,,,,,
10099,Cosmos-838 fragmentation debris,1976-063AC,Payload Fragmentation Debris,,,,,,,,
10088,Cosmos-916 operational debris (KB electropitaniya),1977-046G,Payload Mission Related Object,810.0,Cyl,,,,1.8,1.0,
10093,Cosmos-921,1977-055A,Payload,817.64,Cyl,,,,1.3,3.2,
10092,Molniya operational debris (jettisonable engine section (BOZ)),1977-054C,Rocket Mission Related Object,328.0,Cyl,,,,2.3,1.0,
8078,PAGEOS 1 fragmentation debris,1966-056P,Payload Fragmentation Debris,,,,,,,,
8080,Delta 900 fragmentation debris,1972-058DH,Rocket Fragmentation Debris,,,,,,,,
8038,Cosmos-751,1975-068A,Payload,5649.16,Sphere + Cyl,,,,2.4,5.0,
8053,Salyut 4 operational debris,1974-104U,Payload Mission Related Object,,,,,,,,
8052,Feng Bao second stage (Feng Bao 1),1975-070B,Rocket Body,3535.0,Cyl,,,,3.4,8.6,
